video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZvVAPboLLVM&list=RDZvVAPboLLVM&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@HeartfulCafeMusic,Heartful Cafe Music,"Calming Office Music Mix【For Work / Study】Restaurants BGM, Lounge Music, shop BGM.",3.4M,4 years,"Calming Office Music Mix【For Work / Study】Restaurants BGM, Lounge Music, shop BGM. Click here for subscription   ...",33:25.1
/watch?v=nNgIMdc6wqU&pp=ygULb2ZmaWNlIHdvcms%3D,/channel/UCsxTsDvh-xQnShEtN1M64zQ,𝗖 𝗛 𝗜 𝗟 𝗟   𝗩 𝗜 𝗟 𝗟 𝗔 𝗚 𝗘,Daily Work Office 📒 Lofi Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],1.6M,Streamed 2 years,Daily Work Office Lofi Deep Focus Study/Work Concentration [chill lo-fi hip hop beats] #Lofi #DeepFocus #Concentration ...,33:25.1
/watch?v=j8L6IvuYGOQ&pp=ygULb2ZmaWNlIHdvcms%3D,/@DeepChillMusic-01,Deep Chill Music,WORK MUSIC - 1 Hour of Ultimate Work Music for Deep Focus and Efficiency,6.9M,1 year,"WORK MUSIC - 1 Hour of Ultimate Work Music for Deep Focus and Efficiency

Welcome to Deep Chill Music's ""WORK MUSIC - 1 Hour ...",33:25.1
/watch?v=oBgDzCTVt64&pp=ygULb2ZmaWNlIHdvcms%3D,/@Jazz_For_Soul,Jazz For Soul,Jazz Office ☕ Smooth Instrumental Coffee Jazz & Soft Morning Bossa Nova for Upbeat Mood,916K,Streamed 1 year,relaxingjazz #jazz #JazzForSoul Jazz Office ☕ Smooth Instrumental Coffee Jazz & Soft Morning Bossa Nova for Upbeat Mood ...,33:25.1
/watch?v=JUUAJmW06Hg&pp=ygULb2ZmaWNlIHdvcms%3D,/@Jazz_For_Soul,Jazz For Soul,Office Work Cafe☕Relaxing Morning Ambience with Smooth Jazz Instrumental & Bossa Nova To Fresh Start,88K,Streamed 4 months,relaxingjazz #jazz #JazzForSoul #MorningJazz #AutumnJazz #JazzInstrumental Office Work Cafe☕Relaxing Morning Ambience ...,33:25.1
/watch?v=Oao2zdBuA90&pp=ygULb2ZmaWNlIHdvcms%3D,/channel/UCsxTsDvh-xQnShEtN1M64zQ,𝗖 𝗛 𝗜 𝗟 𝗟   𝗩 𝗜 𝗟 𝗟 𝗔 𝗚 𝗘,Work Office Lofi 💳 Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],781K,Streamed 1 year,Work Office Lofi Deep Focus Study/Work Concentration [chill lo-fi hip hop beats] #Lofi #DeepFocus #Concentration #Study ...,33:25.1
/watch?v=eH-_GMhH-kk&pp=ygULb2ZmaWNlIHdvcms%3D,/@Lullablocks,Lullablocks,"Study | Work Aid • ""The Office"" Ambience 🎧 Keyboard Typing & Pencil Writing sounds",1.8M,2 years,"Hi everyone! We created this office ambience to help you during your work or study session. This design was inspired by ""The ...",33:25.1
/watch?v=4vngwMxF4Nw&pp=ygULb2ZmaWNlIHdvcms%3D,/@Jazz_For_Soul,Jazz For Soul,Work Office Coffee Jazz ☕ Positive Energy Jazz Piano & Sweet Bossa Nova Instrumental for Happy Moods,140K,Streamed 5 months,relaxingjazz #jazz #JazzForSoul #MorningJazz #AutumnJazz #JazzInstrumental Work Office Coffee Jazz ☕ Positive Energy Jazz ...,33:25.1
/watch?v=Hlp6aawXVoY&list=RDHlp6aawXVoY&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@HALIDONMUSIC,HALIDONMUSIC,8 Hours Classical Music for Working,1.9M,2 years,Buy the MP3 album on the Halidon Music Store: https://bit.ly/3IC7Xa3 Listen to our playlist on Spotify: ...,33:25.1
/watch?v=HOSF4VGRJuc&list=RDHOSF4VGRJuc&start_radio=1&pp=ygULb2ZmaWNlIHdvcmugBwE%3D,/@HeartfulCafeMusic,Heartful Cafe Music,"Uplifting Office Music MIX 【For Work / Study】Restaurants BGM, Lounge Music, shop BGM",1.4M,2 years,"Uplifting Office Music MIX 【For Work / Study】Restaurants BGM, Lounge Music, shop BGM Click here for subscription     ...",33:25.1
